ID,Material,E_MPa,L,W,H,Force_N,Angle,VM_Stress_MPa,Disp_mm
319,Titanium_6Al4V,114000,878.09,12.93,52.52,5767.07,142.77,522.356,44.2509
320,Steel_High_Carbon,210000,303.02,52.02,48.25,6068.62,162.37,29.958,0.1667
321,Magnesium_AZ31B,45000,206.71,16.95,44.08,2998.56,129.8,89.682,1.2459
322,Copper_Alloy,117000,1243.28,47.41,25.2,505.19,216.32,74.482,25.9121
323,Copper_Alloy,117000,1605.12,35.49,70.14,1248.6,76.8,67.179,14.0342
324,Steel_Mild,200000,660.71,37.91,107.85,23003.72,278.94,205.677,2.7564
325,Aluminum_6061,69000,1193.56,21.86,75.84,3938.62,7.73,32.539,5.4764
326,Magnesium_AZ31B,45000,1966.71,25.01,119.88,3678.82,189.7,21.566,9.7275
327,Stainless_304,193000,1824.71,17.01,93.06,1887.24,52.45,111.957,13.7434
328,Steel_High_Carbon,210000,1943.62,56.06,72.24,753.58,197.8,9.361,1.5244
329,Magnesium_AZ31B,45000,1685.52,22.46,87.08,1017.83,59.32,52.257,25.1231
330,Aluminum_6061,69000,1706.64,10.58,116.44,2462.1,148.44,93.731,22.2319
331,Steel_Mild,200000,1425.22,17.83,95.38,2804.16,78.24,145.126,10.2741
332,Copper_Alloy,117000,1674.9,30.09,28.53,512.42,357.19,10.904,5.775
333,Aluminum_6061,69000,265.86,27.87,34.1,4093.8,337.5,81.205,1.5444
334,Steel_High_Carbon,210000,1114.64,19.42,42.1,1697.24,90.53,329.823,30.894
335,Stainless_304,193000,914.49,26.78,46.11,735.24,41.1,47.037,2.918
336,Stainless_304,193000,633.33,36.24,30.69,343.87,245.88,35.074,1.5774
337,Stainless_304,193000,940.58,48.21,65.11,8281.49,134.98,163.692,7.592
338,Steel_High_Carbon,210000,402.76,55.0,32.8,11939.02,256.86,476.624,7.4549
339,Steel_High_Carbon,210000,552.81,23.53,58.41,7722.78,50.59,250.353,4.0947
340,Magnesium_AZ31B,45000,1931.12,32.22,67.89,1606.69,296.84,112.199,91.0251
341,Magnesium_AZ31B,45000,830.39,22.16,65.19,415.76,68.48,20.58,3.2066
342,Copper_Alloy,117000,1641.98,41.63,47.96,2283.34,284.0,228.239,73.0144
343,Magnesium_AZ31B,45000,807.89,11.62,70.76,840.15,312.79,52.098,7.0194
344,Nylon_66,3000,1128.03,18.0,112.64,972.58,285.21,27.965,69.8216
345,Stainless_304,193000,1480.11,49.36,98.38,9530.52,312.41,132.183,10.0615
346,Aluminum_6061,69000,1552.48,49.64,101.53,15210.11,102.83,270.744,61.9193
347,Titanium_6Al4V,114000,587.29,51.48,48.01,12528.38,32.89,206.412,8.4879
348,Steel_High_Carbon,210000,1670.08,14.85,44.68,582.01,144.91,113.817,22.412
349,Polycarbonate,2400,993.54,32.02,116.32,4528.61,221.66,42.38,97.6382
350,Magnesium_AZ31B,45000,1508.35,44.11,81.79,3480.3,175.25,9.803,3.6427
351,Stainless_304,193000,1236.44,37.52,93.71,4888.92,320.82,70.658,3.9189
352,Nylon_66,3000,1127.66,41.36,101.16,3055.88,132.52,36.525,100.5762
353,Aluminum_6061,69000,446.89,27.59,36.13,319.2,46.82,17.559,0.9255
354,Polycarbonate,2400,1305.07,43.49,82.32,1487.49,167.91,8.687,47.5751
355,Copper_Alloy,117000,1889.48,44.53,33.22,870.82,38.21,124.729,76.0938
356,Magnesium_AZ31B,45000,1831.98,45.52,111.33,3074.18,179.69,0.931,0.1468
357,Polycarbonate,2400,1165.2,11.07,76.35,271.55,149.2,15.346,74.4102
358,Steel_Mild,200000,510.19,33.84,64.53,8849.27,335.62,83.158,1.067
359,Polycarbonate,2400,552.15,54.5,58.04,1796.18,261.01,32.136,46.7114
360,Steel_High_Carbon,210000,1329.44,32.2,89.95,8497.44,227.4,193.574,11.9457
361,Steel_Mild,200000,1495.32,39.45,84.94,5079.92,248.29,149.377,13.0543
362,Magnesium_AZ31B,45000,730.19,25.99,111.38,6363.26,189.37,16.273,0.999
363,Steel_High_Carbon,210000,603.4,31.24,92.51,16433.52,233.94,183.634,2.2477
364,Aluminum_6061,69000,824.78,17.86,23.92,145.49,5.19,6.713,1.7512
365,Steel_Mild,200000,1517.6,27.62,104.89,2148.31,48.89,49.012,3.55
366,Steel_Mild,200000,612.58,58.47,88.06,2603.78,171.23,3.723,0.0457
367,Stainless_304,193000,333.39,31.66,97.46,27908.23,52.88,154.623,0.5832
368,Copper_Alloy,117000,1413.9,34.8,22.58,229.25,64.1,98.731,49.7413
369,Steel_High_Carbon,210000,1691.89,54.4,106.8,5016.69,65.49,75.063,6.354
370,Brass,105000,1232.4,50.45,21.22,533.16,281.48,170.176,77.2875
371,Steel_Mild,200000,397.53,21.8,25.93,1683.69,97.22,272.292,5.5218
372,Steel_High_Carbon,210000,599.43,25.99,37.47,2240.5,103.25,215.559,6.5437
373,Polycarbonate,2400,932.27,22.66,114.93,1266.82,306.19,19.421,40.1364
374,Titanium_6Al4V,114000,1335.17,47.71,52.13,4033.32,243.13,223.069,44.4566
375,Magnesium_AZ31B,45000,658.74,56.09,119.52,2394.33,100.74,11.706,0.6242
376,Aluminum_6061,69000,1601.2,49.97,39.7,1151.28,99.57,138.589,86.4095
377,Copper_Alloy,117000,1458.01,40.47,78.31,3637.54,352.53,17.812,2.5784
378,Steel_Mild,200000,1393.7,12.86,52.94,810.8,196.5,54.577,6.5343
379,Brass,105000,613.72,16.89,76.88,2609.45,189.32,17.591,0.485
380,Aluminum_6061,69000,721.12,17.14,112.26,9781.85,179.56,6.589,0.0858
381,Aluminum_6061,69000,591.04,39.63,93.61,5719.1,46.7,43.658,1.5325
382,Nylon_66,3000,210.54,16.14,30.14,761.82,160.41,23.522,7.1932
383,Copper_Alloy,117000,552.33,10.74,26.67,334.24,131.87,108.776,7.0374
384,Magnesium_AZ31B,45000,1963.31,12.44,103.4,1212.56,318.1,72.442,39.6098
385,Steel_Mild,200000,1502.01,24.5,112.39,8884.96,206.4,117.993,7.6977
386,Steel_High_Carbon,210000,384.34,52.92,71.94,40485.12,173.1,51.616,0.2676
387,Magnesium_AZ31B,45000,706.86,13.02,45.96,520.02,96.42,79.818,12.8347
388,Nylon_66,3000,1873.85,21.9,114.37,630.4,135.98,17.38,117.3025
389,Brass,105000,1087.26,26.06,63.1,1199.15,130.84,57.532,6.7844
390,Brass,105000,446.41,47.04,99.16,11762.28,278.31,68.073,0.86
391,Magnesium_AZ31B,45000,1187.44,58.94,54.54,4045.94,72.58,157.282,60.0837
392,Magnesium_AZ31B,45000,657.47,36.45,77.85,5700.05,117.21,91.559,7.4464
393,Brass,105000,1135.06,39.55,41.25,1990.11,6.94,25.549,4.8257
394,Magnesium_AZ31B,45000,1938.39,50.92,103.02,4118.58,136.57,61.52,32.9244
395,Nylon_66,3000,926.55,18.65,85.45,930.64,53.78,31.02,68.4311
396,Copper_Alloy,117000,575.44,11.36,88.38,2864.17,1.52,5.811,0.0647
397,Brass,105000,1338.34,44.71,38.07,1530.42,129.91,146.061,43.4563
398,Steel_Mild,200000,904.75,17.9,56.19,2011.55,136.83,133.697,6.4192
399,Steel_Mild,200000,470.54,14.79,105.61,4803.06,34.66,49.488,0.3267
400,Titanium_6Al4V,114000,1085.75,55.0,49.8,2816.56,203.11,53.754,7.3089
401,Titanium_6Al4V,114000,212.2,25.89,28.69,3548.5,121.49,183.585,1.6593
402,Nylon_66,3000,1087.8,34.51,68.31,369.04,142.63,9.206,34.948
403,Steel_High_Carbon,210000,1583.77,34.16,24.3,886.87,292.67,385.945,126.3338
404,Magnesium_AZ31B,45000,753.84,10.39,111.39,4984.81,172.59,26.866,1.7063
405,Titanium_6Al4V,114000,1542.71,36.45,59.08,361.15,296.04,23.685,5.5615
406,Steel_Mild,200000,799.16,19.8,88.87,7462.2,55.99,192.259,4.5435
407,Nylon_66,3000,1026.25,48.83,104.05,2140.55,283.95,24.322,54.4263
408,Titanium_6Al4V,114000,314.23,22.97,46.49,24723.41,339.28,354.484,4.1264
409,Titanium_6Al4V,114000,1237.5,48.36,56.35,19352.69,223.15,645.28,101.71
410,Copper_Alloy,117000,1404.39,33.74,86.6,6679.03,309.12,174.062,22.3932
411,Aluminum_6061,69000,1622.77,54.97,76.33,2357.26,258.71,70.401,23.4256
412,Magnesium_AZ31B,45000,1270.55,32.04,40.52,1167.94,18.57,54.758,31.8128
413,Steel_Mild,200000,291.89,51.37,20.29,1971.67,345.95,41.491,0.5548
414,Steel_High_Carbon,210000,579.27,17.87,58.8,3153.24,116.38,160.396,2.8789
415,Aluminum_6061,69000,890.04,14.97,93.75,3601.28,352.55,21.514,1.5476
416,Steel_Mild,200000,679.78,37.03,25.75,683.8,240.29,99.027,5.9016
417,Nylon_66,3000,1898.84,33.81,93.31,1149.25,344.29,12.397,103.416
418,Titanium_6Al4V,114000,757.84,14.11,96.61,19614.41,358.04,37.564,0.8109
419,Steel_Mild,200000,305.66,19.82,43.16,3953.21,238.82,170.705,1.2123
420,Copper_Alloy,117000,691.76,41.51,65.81,4409.61,7.25,14.459,0.5324
421,Copper_Alloy,117000,1475.7,15.22,86.11,1787.99,341.44,45.958,6.4342
422,Magnesium_AZ31B,45000,312.71,22.92,90.88,10185.06,290.16,97.185,1.5107
423,Titanium_6Al4V,114000,1056.09,29.83,57.36,7953.75,293.89,471.531,53.3887
424,Magnesium_AZ31B,45000,1149.18,33.27,75.5,1972.3,315.55,50.797,13.0127
425,Aluminum_6061,69000,793.42,38.88,34.54,1069.53,208.65,53.337,9.2677
426,Copper_Alloy,117000,317.34,29.08,69.83,17824.38,72.79,232.243,1.8787
427,Nylon_66,3000,1495.41,43.58,35.15,278.04,170.54,7.795,107.6607
428,Nylon_66,3000,1377.07,47.3,116.66,3952.98,220.09,33.244,118.0279
429,Aluminum_6061,69000,879.25,49.41,73.21,3950.03,59.0,68.055,6.8816
430,Brass,105000,322.97,17.53,45.69,1034.98,344.25,16.146,0.2157
431,Aluminum_6061,69000,727.1,31.37,119.18,19221.58,170.54,36.07,1.3268
432,Magnesium_AZ31B,45000,1628.41,19.24,108.58,3420.31,186.11,17.315,5.6737
433,Nylon_66,3000,1521.53,35.21,40.59,145.64,169.8,4.159,51.4422
434,Steel_Mild,200000,1066.27,14.43,101.48,3847.61,82.95,164.856,6.1393
435,Copper_Alloy,117000,1855.0,23.07,78.89,1791.88,1.92,5.638,1.1567
436,Stainless_304,193000,1698.37,55.04,93.4,7249.94,351.17,25.019,2.5196
437,Steel_Mild,200000,1523.16,52.17,77.17,7618.98,294.42,204.899,20.4501
438,Steel_Mild,200000,867.83,31.84,80.35,2491.81,281.18,62.159,1.9346
439,Polycarbonate,2400,1350.28,54.45,35.4,114.59,25.65,5.943,84.2596
440,Titanium_6Al4V,114000,1360.89,25.4,111.49,13694.52,30.49,183.981,17.4571
441,Polycarbonate,2400,1036.44,26.49,104.47,2831.83,330.68,30.747,85.1951
442,Magnesium_AZ31B,45000,730.06,28.16,22.94,474.91,327.88,75.268,25.6912
443,Nylon_66,3000,1461.73,40.83,73.73,168.03,61.83,5.881,37.6931
444,Brass,105000,423.81,49.8,24.49,2486.02,96.94,210.412,9.7836
445,Steel_High_Carbon,210000,1621.55,47.04,82.09,1263.32,229.0,29.485,2.9757
446,Copper_Alloy,117000,1204.91,42.46,107.41,11555.83,75.12,165.598,12.6944
447,Aluminum_6061,69000,695.44,59.31,109.32,2411.37,79.71,14.066,0.597
448,Brass,105000,1267.85,23.92,101.24,2615.09,148.64,43.174,4.2569
449,Steel_High_Carbon,210000,283.74,30.03,53.88,2220.31,333.62,20.556,0.0914
450,Titanium_6Al4V,114000,717.08,20.16,101.16,25328.98,303.09,450.157,13.1555
451,Steel_High_Carbon,210000,597.58,44.08,107.22,70156.48,288.38,477.152,4.9807
452,Aluminum_6061,69000,676.44,34.62,49.66,3814.76,203.92,75.593,6.5459
453,Polycarbonate,2400,841.25,49.3,81.2,3529.72,38.04,34.498,81.7675
454,Steel_Mild,200000,1011.01,48.28,86.92,6551.18,146.95,60.766,2.3291
455,Brass,105000,611.52,53.07,73.0,17107.53,182.77,15.147,0.3498
456,Aluminum_6061,69000,923.62,11.99,53.26,898.43,194.14,37.137,5.5343
457,Copper_Alloy,117000,422.52,10.17,42.19,1447.6,219.95,132.879,3.1386
458,Steel_High_Carbon,210000,1003.4,29.73,108.8,25523.83,290.87,411.245,11.9855
459,Titanium_6Al4V,114000,1738.01,31.62,103.72,390.07,54.69,9.83,1.6619
460,Aluminum_6061,69000,1835.69,36.03,32.67,328.1,325.88,52.943,52.5304
461,Steel_Mild,200000,603.2,35.75,103.89,31774.5,46.28,221.893,2.5147
462,Nylon_66,3000,1151.42,18.9,54.02,380.0,24.68,20.217,108.3944
463,Titanium_6Al4V,114000,1223.55,28.35,92.8,25962.48,274.23,779.695,73.4488
464,Magnesium_AZ31B,45000,1148.41,57.89,83.86,1173.71,137.57,13.588,3.1227
465,Aluminum_6061,69000,1630.95,51.88,26.47,472.51,340.73,42.305,40.7589
466,Polycarbonate,2400,706.5,30.45,43.41,228.12,28.57,8.214,25.7413
467,Brass,105000,1110.75,47.73,60.68,5576.52,66.55,194.824,25.0448
468,Stainless_304,193000,829.75,56.47,46.13,1491.33,108.86,58.67,3.0143
469,Aluminum_6061,69000,1971.74,57.72,86.9,344.44,257.73,9.151,3.9487
470,Stainless_304,193000,1436.68,32.11,68.42,4167.44,86.96,238.802,24.8686
471,Stainless_304,193000,473.18,53.47,20.25,1904.51,203.41,99.609,3.742
472,Aluminum_6061,69000,839.59,23.1,79.83,493.9,14.25,4.423,0.3549
473,Steel_High_Carbon,210000,963.4,15.68,99.44,10145.44,4.42,35.661,0.8642
474,Steel_Mild,200000,723.81,42.57,103.63,13022.46,0.63,4.313,0.0253
475,Brass,105000,633.2,21.29,116.72,9659.68,277.67,126.313,2.7349
476,Stainless_304,193000,1540.5,34.78,104.21,9679.59,220.14,154.81,12.012
477,Aluminum_6061,69000,1640.82,45.92,43.4,1421.46,308.04,127.875,76.3752
478,Steel_High_Carbon,210000,1953.35,33.65,113.09,9907.53,294.2,247.246,26.3597
479,Stainless_304,193000,1408.62,40.84,113.37,11947.69,44.1,135.809,8.0936
480,Steel_Mild,200000,1512.08,44.54,57.54,4120.68,74.68,244.965,32.3855
481,Copper_Alloy,117000,1847.22,38.97,42.8,131.72,62.5,18.177,8.2404
482,Steel_High_Carbon,210000,364.83,18.97,117.52,34004.02,44.05,210.311,0.7105
483,Titanium_6Al4V,114000,360.38,41.37,44.23,31628.67,321.24,543.247,9.0845
484,Steel_Mild,200000,517.9,47.1,109.18,30780.35,223.62,122.33,0.9625
485,Copper_Alloy,117000,749.37,31.94,70.75,1602.25,259.7,44.497,2.005
486,Nylon_66,3000,582.15,41.47,56.68,1483.18,19.7,13.713,17.4171
487,Nylon_66,3000,699.86,16.61,116.5,412.3,271.54,7.703,7.1727
488,Titanium_6Al4V,114000,673.79,49.52,67.32,176.29,54.13,2.607,0.1015
489,Stainless_304,193000,882.05,41.94,94.99,5643.13,9.96,15.058,0.3862
490,Brass,105000,267.0,34.78,116.55,66951.63,114.39,217.129,0.8032
491,Stainless_304,193000,1199.78,49.69,62.02,239.89,253.25,8.676,0.6936
492,Brass,105000,792.47,52.41,44.9,4571.21,349.39,39.796,3.3636
493,Steel_Mild,200000,1734.22,57.62,85.54,5864.5,231.89,114.642,13.3466
494,Titanium_6Al4V,114000,1598.74,12.31,89.65,9893.55,118.03,851.175,141.1711
495,Steel_High_Carbon,210000,903.19,17.06,77.97,297.66,273.22,15.552,0.5158
496,Polycarbonate,2400,590.66,30.87,79.31,3135.29,336.38,24.138,28.0174
497,Polycarbonate,2400,1260.3,52.29,60.5,960.59,25.55,16.646,119.3719
498,Nylon_66,3000,1819.21,21.08,109.14,997.72,30.01,22.075,146.1757
499,Stainless_304,193000,1321.61,51.26,105.24,17089.7,345.69,62.101,3.3824
500,Titanium_6Al4V,114000,841.59,56.45,68.87,272.77,85.85,5.139,0.3086
501,Steel_Mild,200000,1688.26,13.76,61.99,1390.26,25.4,115.726,17.5086
502,Nylon_66,3000,465.75,33.0,80.35,2948.5,10.99,8.482,4.4264
503,Magnesium_AZ31B,45000,257.53,57.69,81.35,28719.34,307.25,97.056,1.1177
504,Copper_Alloy,117000,472.07,29.16,116.73,16102.31,19.66,43.272,0.4205
505,Stainless_304,193000,1452.6,17.35,68.27,1541.29,51.02,129.981,13.7867
506,Polycarbonate,2400,563.62,55.49,59.42,602.68,283.61,10.164,15.0146
507,Brass,105000,1330.82,20.5,106.11,5696.1,321.1,125.852,13.1135
508,Magnesium_AZ31B,45000,769.17,33.25,97.01,838.95,123.17,10.515,0.9358
509,Magnesium_AZ31B,45000,1383.59,21.4,30.69,182.55,281.1,73.836,68.1782
510,Copper_Alloy,117000,1247.15,17.25,75.77,728.8,317.99,37.281,4.3108
511,Magnesium_AZ31B,45000,1030.49,29.18,103.54,6130.89,40.17,79.789,11.8766
512,Nylon_66,3000,541.97,26.79,119.15,7451.32,5.81,8.793,3.5579
513,Aluminum_6061,69000,1915.28,10.19,98.49,1979.4,124.62,190.544,68.1488
514,Brass,105000,924.04,20.77,43.58,659.87,134.33,66.866,8.2529
515,Steel_High_Carbon,210000,1684.66,57.89,20.8,1037.59,0.51,4.589,1.6146
516,Stainless_304,193000,722.37,54.8,86.92,16858.71,285.94,170.903,3.5192
517,Brass,105000,1598.24,19.72,78.29,2731.12,192.04,46.938,9.363
518,Steel_High_Carbon,210000,1810.23,14.84,108.36,6277.39,193.36,94.241,8.6801
519,Steel_High_Carbon,210000,956.59,20.05,97.22,2057.17,198.23,20.511,0.5824
520,Copper_Alloy,117000,984.85,26.68,71.91,4437.42,87.05,190.021,14.5877
521,Copper_Alloy,117000,630.55,28.71,73.03,6986.44,132.16,130.353,3.9695
522,Copper_Alloy,117000,1246.08,13.79,46.74,578.27,160.41,48.969,9.1081
523,Steel_High_Carbon,210000,279.43,56.45,37.84,5312.38,158.72,42.374,0.262
524,Stainless_304,193000,1426.05,18.4,115.37,1691.91,16.3,17.365,1.0101
525,Nylon_66,3000,604.08,21.94,35.14,113.32,70.76,14.367,33.0313
526,Brass,105000,558.58,24.96,62.94,7024.71,222.05,162.983,5.0195
527,Steel_Mild,200000,768.98,32.12,40.57,1504.42,226.29,95.729,4.6111
528,Steel_Mild,200000,848.28,30.83,71.51,9023.88,243.49,262.693,8.7442
529,Steel_High_Carbon,210000,627.78,34.81,26.65,1191.26,155.24,77.193,3.5686
530,Steel_Mild,200000,760.84,39.54,61.52,1434.77,200.87,16.153,0.4891
531,Stainless_304,193000,1294.45,52.99,94.88,13147.27,174.09,24.652,1.3446
532,Nylon_66,3000,1265.95,17.15,115.16,1523.28,307.63,40.791,124.5972
533,Stainless_304,193000,894.88,10.76,84.7,768.82,143.39,32.595,1.0415
534,Brass,105000,1364.0,46.45,98.05,7096.78,251.24,123.712,14.8368
535,Steel_Mild,200000,1535.3,49.24,36.96,191.94,46.32,19.084,4.0413
536,Magnesium_AZ31B,45000,1352.96,59.03,112.62,15718.59,27.39,80.554,18.8799
537,Steel_Mild,200000,701.26,42.37,37.86,1898.28,176.92,8.25,0.306
538,Magnesium_AZ31B,45000,1396.08,45.11,77.02,4581.15,188.6,22.753,8.0393
539,Aluminum_6061,69000,1126.61,15.19,83.07,3170.3,210.5,105.981,15.3183
540,Nylon_66,3000,1524.41,57.09,92.13,891.14,205.88,7.497,41.1528
541,Brass,105000,540.49,47.13,101.07,18185.28,238.8,107.092,1.9229
542,Steel_Mild,200000,745.83,54.19,86.88,6722.17,320.93,47.518,0.9893
543,Aluminum_6061,69000,703.42,29.47,113.36,5493.87,104.78,59.764,2.4967
544,Steel_Mild,200000,1683.12,49.97,41.19,694.81,188.74,12.91,2.8831
545,Polycarbonate,2400,307.34,44.44,106.92,4187.37,272.72,15.395,3.7257
546,Nylon_66,3000,218.14,31.1,39.04,742.65,72.94,19.842,5.31
547,Aluminum_6061,69000,1714.61,22.92,105.62,1596.89,59.21,55.553,14.8439
548,Nylon_66,3000,598.38,57.13,31.6,253.09,127.53,12.72,31.8062
549,Copper_Alloy,117000,405.68,12.76,104.75,9222.35,256.03,158.214,1.3929
550,Magnesium_AZ31B,45000,1035.07,14.49,35.73,461.27,121.29,132.814,58.787
551,Aluminum_6061,69000,1339.96,27.13,107.12,5816.47,11.98,33.155,5.0497
552,Polycarbonate,2400,1137.3,33.47,72.29,1429.61,15.28,15.274,73.0541
553,Nylon_66,3000,803.52,11.92,99.29,1249.77,321.04,33.106,46.5874
554,Nylon_66,3000,1390.37,46.21,102.53,3814.05,19.52,22.655,91.6967
555,Steel_High_Carbon,210000,1561.55,34.83,91.79,5403.25,227.67,128.713,10.7555
556,Aluminum_6061,69000,974.84,55.45,103.03,12165.58,343.91,35.583,2.9859
557,Steel_High_Carbon,210000,411.82,53.12,99.95,71860.56,207.64,168.01,0.8365
558,Magnesium_AZ31B,45000,1933.39,11.23,101.29,386.68,109.86,36.742,20.0193
559,Aluminum_6061,69000,1392.44,35.14,45.7,650.33,118.47,65.28,26.6775
560,Magnesium_AZ31B,45000,1573.97,16.78,58.02,624.05,154.1,46.155,28.8281
561,Steel_High_Carbon,210000,1308.01,58.4,112.22,813.47,83.95,8.651,0.4178
562,Steel_Mild,200000,580.43,12.84,28.7,834.82,254.51,265.575,10.3656
563,Titanium_6Al4V,114000,438.09,12.03,102.74,35217.62,26.81,355.806,3.5933
564,Steel_High_Carbon,210000,605.55,15.05,89.51,17000.73,239.99,450.791,5.7689
565,Copper_Alloy,117000,807.31,42.25,73.42,4067.21,47.93,65.141,3.248
566,Stainless_304,193000,588.54,49.88,31.9,2754.3,159.85,67.65,2.4758
567,Steel_Mild,200000,1969.2,15.73,83.48,1783.01,292.47,178.136,27.4971
568,Steel_Mild,200000,538.61,34.63,74.18,12031.54,284.76,198.851,2.5721
569,Nylon_66,3000,1927.99,47.12,49.84,625.08,352.55,8.275,132.7574
570,Steel_Mild,200000,1734.75,12.72,25.46,220.47,288.25,264.532,104.1391
571,Steel_High_Carbon,210000,1865.76,22.69,95.82,1584.69,178.15,3.478,0.3171
572,Brass,105000,1140.23,37.05,38.08,828.49,263.07,104.81,22.7024
573,Titanium_6Al4V,114000,309.03,15.57,114.39,75238.05,142.01,459.756,2.0597
574,Copper_Alloy,117000,1993.32,12.43,21.38,217.07,354.7,43.02,44.6935
575,Steel_Mild,200000,1686.0,47.41,90.96,851.25,87.2,21.942,2.2841
576,Aluminum_6061,69000,1095.24,27.44,96.58,9374.35,292.43,223.984,26.6974
577,Magnesium_AZ31B,45000,468.28,25.05,88.28,8238.21,96.9,118.544,4.3316
578,Polycarbonate,2400,899.15,33.92,108.07,1817.02,229.21,19.083,38.9309
579,Steel_High_Carbon,210000,454.29,25.84,40.44,3618.18,15.95,67.506,1.039
580,Stainless_304,193000,800.66,22.12,21.95,376.35,4.9,15.264,1.4618
581,Steel_High_Carbon,210000,538.3,36.27,73.96,6963.12,134.81,82.387,1.0002
582,Brass,105000,1700.16,39.21,53.77,840.5,274.39,75.447,25.7386
583,Steel_High_Carbon,210000,1992.15,51.0,102.14,2670.42,135.89,42.135,5.1506
584,Steel_Mild,200000,1851.47,10.51,45.69,419.97,326.78,117.233,29.1339
585,Nylon_66,3000,1482.49,17.01,95.11,535.38,351.3,5.01,24.0397
586,Copper_Alloy,117000,416.9,47.01,44.25,3306.75,263.7,89.586,1.999
587,Magnesium_AZ31B,45000,1813.02,57.69,56.48,3097.74,351.05,29.428,24.5612
588,Copper_Alloy,117000,1540.25,50.52,58.45,4197.5,301.56,192.278,44.2903
589,Copper_Alloy,117000,312.67,34.8,111.37,34248.99,250.45,144.857,0.7017
590,Stainless_304,193000,1429.29,51.77,22.69,443.74,177.79,5.883,1.7123
591,Steel_Mild,200000,293.94,36.17,99.47,35276.92,21.18,72.54,0.1824
592,Stainless_304,193000,1607.99,43.68,43.31,1657.35,309.25,151.695,31.166
593,Copper_Alloy,117000,1853.39,49.48,58.11,1421.53,89.01,94.614,31.8628
594,Copper_Alloy,117000,1593.44,26.94,53.86,815.84,196.85,29.472,7.7712
595,Brass,105000,1904.27,39.44,23.78,152.71,111.93,72.633,70.2637
596,Magnesium_AZ31B,45000,1245.04,49.07,68.35,4950.57,153.25,73.95,24.3966
597,Nylon_66,3000,1501.07,52.99,80.75,1097.43,43.85,20.007,122.8819
598,Magnesium_AZ31B,45000,1279.13,46.39,58.03,514.58,40.86,16.687,6.9085
599,Titanium_6Al4V,114000,507.04,14.39,57.49,501.51,234.09,26.369,0.6795
600,Nylon_66,3000,749.46,27.62,106.59,3505.75,242.31,45.12,52.0918
601,Brass,105000,1321.16,25.6,24.73,295.44,280.8,147.028,65.8465
602,Steel_Mild,200000,1578.67,11.83,90.03,1957.15,339.67,68.912,6.1979
603,Copper_Alloy,117000,383.06,34.59,113.37,45662.0,209.55,127.428,0.8592
604,Steel_Mild,200000,942.65,51.28,60.57,7379.32,32.09,119.914,5.7634
605,Steel_Mild,200000,1396.15,17.91,119.27,7461.81,323.69,148.192,7.9144
606,Titanium_6Al4V,114000,1833.56,10.36,78.02,2563.35,34.03,252.924,63.0623
607,Magnesium_AZ31B,45000,1692.5,13.35,62.43,390.3,144.42,44.708,30.1282
608,Nylon_66,3000,1657.74,56.93,77.26,2030.43,13.37,14.194,108.6256
609,Titanium_6Al4V,114000,598.61,54.2,58.82,51023.22,223.89,689.653,24.1373
610,Nylon_66,3000,976.83,54.1,98.55,3325.6,25.36,16.467,34.1867
611,Stainless_304,193000,1769.84,18.53,104.56,4022.26,138.33,141.769,14.5051
612,Steel_Mild,200000,1615.03,12.67,32.06,175.23,134.59,93.162,25.1816
613,Titanium_6Al4V,114000,462.59,31.07,33.63,4998.81,85.72,394.289,14.6513
614,Steel_Mild,200000,1748.87,51.3,107.47,5259.45,35.61,55.029,5.145
615,Magnesium_AZ31B,45000,633.82,25.53,66.5,479.3,219.13,10.418,0.9119
616,Magnesium_AZ31B,45000,1600.11,38.45,64.62,1162.04,189.83,12.325,6.9634
617,Polycarbonate,2400,709.95,23.87,58.72,585.53,160.42,10.556,24.2147
618,Polycarbonate,2400,1473.49,22.98,61.53,113.85,138.17,7.777,75.629
619,Brass,105000,1647.72,25.56,115.03,3740.77,32.15,59.292,8.7199
620,Brass,105000,572.91,23.46,35.56,1174.19,263.86,135.477,7.9279
621,Titanium_6Al4V,114000,1580.81,48.3,94.13,6020.31,356.46,9.563,1.2792
622,Stainless_304,193000,646.33,34.34,48.93,788.06,205.07,16.184,0.4645
623,Copper_Alloy,117000,1952.36,26.57,55.99,595.09,102.27,81.871,31.7233
624,Steel_Mild,200000,688.85,59.7,69.66,4127.21,117.2,52.875,1.1892
625,Steel_Mild,200000,1062.03,41.07,60.61,4403.81,289.43,176.045,10.8804
626,Steel_Mild,200000,1400.89,57.4,71.2,8301.67,293.21,221.246,20.249
627,Brass,105000,639.85,52.58,96.93,25964.19,16.91,63.681,1.5742
628,Copper_Alloy,117000,1547.62,41.52,87.44,4887.28,323.01,87.114,13.4248
